PropertyRoomTypeID|RoomType
23842|Single
23847|Single
23934|Single
23942|Single
23960|Single
23964|Single
23972|Single
23977|Single
23985|Single
23988|Single
23991|Single
24012|Single
24020|Single
24043|Single
24051|Single
24054|Single
24057|Single
24073|Single
24075|Single
24077|Single
24081|Single
24089|Single
24093|Single
24097|Single
24101|Single
24105|Single
24125|Single
24140|Single
24151|Single
24158|Single
24162|Single
24178|Single
24201|Single
2|Double
7|Double
10|Double
12|Double
16|Double
20|Double
8378|Double
8384|Double
8390|Double
8396|Double
8402|Double
8408|Double
8414|Double
8420|Double
8426|Double
8432|Double
8438|Double
8444|Double
8450|Double
8456|Double
8462|Double
8468|Double
8474|Double
8480|Double
8486|Double
8498|Double
8504|Double
8510|Double
8516|Double
8522|Double
8534|Double
8540|Double
8546|Double
8552|Double
8558|Double
8564|Double
8570|Double
8582|Double
8588|Double
8600|Double
8606|Double
8618|Double
8624|Double
8630|Double
8636|Double
8642|Double
8648|Double
8654|Double
8660|Double
8666|Double
8672|Double
8678|Double
8684|Double
8690|Double
8696|Double
8702|Double
8708|Double
8714|Double
8720|Double
8726|Double
8732|Double
8738|Double
8744|Double
8750|Double
8756|Double
8780|Double
8786|Double
8792|Double
8798|Double
8804|Double
8810|Double
8822|Double
8828|Double
8834|Double
8840|Double
8846|Double
8852|Double
8858|Double
8870|Double
8876|Double
8882|Double
8888|Double
8894|Double
8900|Double
8906|Double
8912|Double
8918|Double
8924|Double
8930|Double
8936|Double
8942|Double
8948|Double
8954|Double
8960|Double
8966|Double
8972|Double
8978|Double
8984|Double
8990|Double
9002|Double
9008|Double
9014|Double
9020|Double
9026|Double
9032|Double
9038|Double
9044|Double
9050|Double
9056|Double
9062|Double
9068|Double
9074|Double
9080|Double
9086|Double
9092|Double
9098|Double
9104|Double
9110|Double
9116|Double
9122|Double
9128|Double
9134|Double
9140|Double
9146|Double
9152|Double
9158|Double
9164|Double
9170|Double
9176|Double
9182|Double
9188|Double
9200|Double
9206|Double
9212|Double
9218|Double
9224|Double
9230|Double
9236|Double
9242|Double
9248|Double
9260|Double
9266|Double
9272|Double
9278|Double
9284|Double
9290|Double
9296|Double
9302|Double
9308|Double
9314|Double
9320|Double
9326|Double
9332|Double
9338|Double
9344|Double
9350|Double
9356|Double
9362|Double
9368|Double
9374|Double
9380|Double
9386|Double
9398|Double
9410|Double
9416|Double
9422|Double
9428|Double
9446|Double
9452|Double
9464|Double
9470|Double
9476|Double
9488|Double
9494|Double
9500|Double
9506|Double
9512|Double
9518|Double
9524|Double
9530|Double
9542|Double
9548|Double
9560|Double
9566|Double
9572|Double
9578|Double
9584|Double
9590|Double
9596|Double
9602|Double
9608|Double
9614|Double
9620|Double
9632|Double
9638|Double
9644|Double
9650|Double
9656|Double
9668|Double
9674|Double
9680|Double
9686|Double
9692|Double
9698|Double
9704|Double
9710|Double
9716|Double
9722|Double
9728|Double
9734|Double
9740|Double
9746|Double
9752|Double
9758|Double
9764|Double
9770|Double
9776|Double
9788|Double
9794|Double
9800|Double
9806|Double
9812|Double
9818|Double
9824|Double
9830|Double
9836|Double
9842|Double
9848|Double
9854|Double
9860|Double
9866|Double
9872|Double
9878|Double
9884|Double
9890|Double
9896|Double
9902|Double
9908|Double
9914|Double
9920|Double
9926|Double
9938|Double
9944|Double
9956|Double
9962|Double
9968|Double
9974|Double
9980|Double
9986|Double
9992|Double
9998|Double
10004|Double
10010|Double
10016|Double
10022|Double
10028|Double
10034|Double
10040|Double
10046|Double
10052|Double
10058|Double
10064|Double
10070|Double
10076|Double
10082|Double
10088|Double
10094|Double
10100|Double
10106|Double
10112|Double
10118|Double
10124|Double
10130|Double
10136|Double
10142|Double
10148|Double
10154|Double
10160|Double
10166|Double
10172|Double
10178|Double
10184|Double
10190|Double
10196|Double
10202|Double
10208|Double
10214|Double
10220|Double
10232|Double
10238|Double
10244|Double
10256|Double
10262|Double
10268|Double
10274|Double
10280|Double
10286|Double
10292|Double
10298|Double
10304|Double
10310|Double
10316|Double
10322|Double
10328|Double
10334|Double
10340|Double
10346|Double
10352|Double
10358|Double
10363|Double
10376|Double
10382|Double
10388|Double
10394|Double
10400|Double
10406|Double
10418|Double
10424|Double
10430|Double
10436|Double
10442|Double
10448|Double
10454|Double
10460|Double
10472|Double
10478|Double
10484|Double
10490|Double
10496|Double
10502|Double
10508|Double
10514|Double
10520|Double
10526|Double
10532|Double
10538|Double
10544|Double
10556|Double
10562|Double
10574|Double
10580|Double
10586|Double
10592|Double
10598|Double
10604|Double
10610|Double
10616|Double
10622|Double
10628|Double
10634|Double
10640|Double
10646|Double
10652|Double
10658|Double
10664|Double
10670|Double
10682|Double
10694|Double
10700|Double
10706|Double
10712|Double
10718|Double
10724|Double
10730|Double
10736|Double
10742|Double
10748|Double
10754|Double
10766|Double
10772|Double
10778|Double
10784|Double
10790|Double
10796|Double
10802|Double
10808|Double
10814|Double
10820|Double
10826|Double
10832|Double
10838|Double
10844|Double
10850|Double
10856|Double
10862|Double
10868|Double
10874|Double
10880|Double
10886|Double
10892|Double
10898|Double
10904|Double
10910|Double
10922|Double
10928|Double
10940|Double
10947|Double
10952|Double
10958|Double
10964|Double
10970|Double
10976|Double
10982|Double
10988|Double
10994|Double
11000|Double
11006|Double
11012|Double
11018|Double
11024|Double
11030|Double
11036|Double
11042|Double
11048|Double
11060|Double
11066|Double
11072|Double
11078|Double
11084|Double
11096|Double
11102|Double
11108|Double
11114|Double
11120|Double
11126|Double
11132|Double
11138|Double
11144|Double
11150|Double
11162|Double
11168|Double
11174|Double
11180|Double
11186|Double
11192|Double
11198|Double
11204|Double
11210|Double
11216|Double
11222|Double
11228|Double
11234|Double
11239|Double
11241|Double
11246|Double
11252|Double
11258|Double
11264|Double
11270|Double
11276|Double
11282|Double
11288|Double
11294|Double
11300|Double
11306|Double
11312|Double
11318|Double
11324|Double
11330|Double
11336|Double
11348|Double
11354|Double
11360|Double
11366|Double
11372|Double
11378|Double
11384|Double
11390|Double
11396|Double
11402|Double
11408|Double
11414|Double
11420|Double
11426|Double
11432|Double
11438|Double
11444|Double
11450|Double
11462|Double
11468|Double
11474|Double
11480|Double
11486|Double
11492|Double
11498|Double
11504|Double
11510|Double
11522|Double
11528|Double
11534|Double
11540|Double
11552|Double
11558|Double
11564|Double
11570|Double
11576|Double
11582|Double
11588|Double
11594|Double
11600|Double
11606|Double
11612|Double
11618|Double
11624|Double
11636|Double
11642|Double
11648|Double
11654|Double
11660|Double
11666|Double
11672|Double
11678|Double
11684|Double
11690|Double
11696|Double
11702|Double
11708|Double
11714|Double
11720|Double
11726|Double
11732|Double
11738|Double
11744|Double
11750|Double
11756|Double
11762|Double
11768|Double
11774|Double
11780|Double
11786|Double
11792|Double
11798|Double
11804|Double
11810|Double
11816|Double
11822|Double
11828|Double
11834|Double
11846|Double
11864|Double
11870|Double
11876|Double
11882|Double
11888|Double
11894|Double
11900|Double
11906|Double
11912|Double
11918|Double
11924|Double
11930|Double
11936|Double
11942|Double
11948|Double
11960|Double
11966|Double
11972|Double
11979|Double
11984|Double
11990|Double
11996|Double
12002|Double
12008|Double
12026|Double
12032|Double
12038|Double
12044|Double
12050|Double
12062|Double
12074|Double
12080|Double
12086|Double
12092|Double
12098|Double
12104|Double
12110|Double
12116|Double
12122|Double
12128|Double
12134|Double
12140|Double
12146|Double
12152|Double
12158|Double
12176|Double
12182|Double
12188|Double
12194|Double
12200|Double
12212|Double
12218|Double
12224|Double
12236|Double
12242|Double
12248|Double
12254|Double
12260|Double
12266|Double
12272|Double
12278|Double
12284|Double
12290|Double
12296|Double
12302|Double
12308|Double
12320|Double
12332|Double
12338|Double
12350|Double
12356|Double
12362|Double
12368|Double
12374|Double
12385|Double
12392|Double
12398|Double
12404|Double
12416|Double
12422|Double
12428|Double
12434|Double
12440|Double
12446|Double
12452|Double
12458|Double
12464|Double
12470|Double
12476|Double
12488|Double
12494|Double
12506|Double
12512|Double
12518|Double
12530|Double
12536|Double
12542|Double
12548|Double
12557|Double
12566|Double
12580|Double
12585|Double
12591|Double
12600|Double
12608|Double
12626|Double
12630|Double
12635|Double
12640|Double
12647|Double
12660|Double
12679|Double
12710|Double
12712|Double
12716|Double
12733|Double
12737|Double
12742|Double
12753|Double
12774|Double
12778|Double
12784|Double
12789|Double
12816|Double
12846|Double
12851|Double
12857|Double
12862|Double
12883|Double
12919|Double
12958|Double
12959|Double
12966|Double
12971|Double
12975|Double
12992|Double
